p,U:0,U:1,U:2,vtkOriginalPointIds,Points:0,Points:1,Points:2,t
-0.49662,0.0,0.0,0.0,82,0.70711,0.70711,0,1.0
-0.48498,0.01767,0.044104,-3.8620000000000004e-20,87,0.85936,0.85936,0,1.0
-0.48463,0.23636,0.010318,1.6489000000000002e-20,92,0.89178,1.0442,0,1.0
-0.47985,0.76357,-0.02943,-3.3425999999999998e-21,101,1.2866,1.2866,0,1.0
-0.39188,1.2753,-0.060575,-2.3083e-20,112,1.5316,1.7937,0,1.0
-0.29592,1.242,-0.081997,-4.1212999999999994e-21,120,1.8605,2.1789,0,1.0
-0.50366,0.11084,0.003432,-2.5687999999999997e-21,126,0.71472,0.98382,0,1.0
-0.5362,0.0,0.0,0.0,145,0.5225,0.85264,0,1.0
-0.50216,0.48528,-0.010559,-2.3538000000000002e-20,149,0.71792,1.1717,0,1.0
-0.42951,1.2583,0.022978,-8.5306e-20,155,1.0047,1.6399,0,1.0
-0.53134,0.27466,-0.016472,2.3409e-20,168,0.5522,1.0838,0,1.0
-0.52287,0.77939,0.019203,-2.2377e-20,191,0.52598,1.2698,0,1.0
-0.59956,0.0,0.0,0.0,208,0.30902,0.95106,0,1.0
-0.56505,0.49532,-0.0018894,4.7467e-20,210,0.37591,1.1568,0,1.0
-0.43419,1.3152,0.12,1.3129e-20,216,0.5338,1.6426,0,1.0
-0.58179,0.61417,0.022921,8.1095e-20,231,0.28397,1.1826,0,1.0
-0.53839,1.0368,0.097026,-4.9851e-20,233,0.32087,1.3362,0,1.0
-0.39427,1.3288,0.1503,-7.6049e-20,238,0.42578,1.7727,0,1.0
-0.63038,0.5632,0.050663,-7.0452e-22,272,0.089562,1.1377,0,1.0
-0.57494,1.0533,0.16431,1.9352e-20,274,0.1015,1.289,0,1.0
-0.67537,0.0,0.0,0.0,292,0.0,1.0,0,1.0
-0.36853,0.0,0.0,0.0,313,1.0,0.0,0,1.0
-0.39339,-0.040776,0.15964,-5.4892999999999995e-21,319,1.212,0.095424,0,1.0
-0.37575,-0.057609,0.13294,-2.6942e-20,320,1.2925,0.0,0,1.0
-0.38062,-0.099176,0.099253,-6.5251e-20,324,1.4555,0.0,0,1.0
-0.40402,-0.089888,0.12611,5.7541e-21,325,1.4519,0.11435,0,1.0
-0.42755,-0.1415,0.010174,2.9836e-20,333,1.8155,0.14304,0,1.0
-0.39596,-0.20884,-0.14074,1.6165e-20,338,2.1297,0.0,0,1.0
-0.36499,-0.21001,-0.40293,-1.8269e-20,348,2.7283,0.0,0,1.0
-0.40818,0.0,0.0,0.0,355,0.98769,0.15643,0,1.0
-0.47946,-0.075512,-0.10822,-1.7841e-20,367,2.1071,0.33402,0,1.0
-0.42927,-0.043238,0.18364,1.6874e-20,378,1.1826,0.28397,0,1.0
-0.43272,-0.047901,0.18858,2.3228000000000002e-20,379,1.258,0.30208,0,1.0
-0.44489,-0.049999,0.16335,-1.2378e-21,381,1.4172,0.34035,0,1.0
-0.50065,0.055617,0.053948,1.7921e-20,406,1.7344,0.56364,0,1.0
-0.52797,0.2011,-0.13639,-7.277099999999999e-21,410,2.137,0.69452,0,1.0
-0.4926,0.34088,-0.30295,-8.9847e-20,413,2.4799,0.80599,0,1.0
-0.46451,0.38518,-0.35148,6.8986e-20,414,2.6029,0.84595,0,1.0
-0.45695,0.0,0.0,0.0,418,0.92388,0.38268,0,1.0
-0.53214,0.29394,-0.079238,8.5654e-21,430,1.973,0.81724,0,1.0
-0.46286,-0.035975,0.15205,8.6078e-21,441,1.0838,0.5522,0,1.0
-0.47317,0.033957,0.14973,3.6332000000000003e-20,444,1.2989,0.66178,0,1.0
-0.51584,0.60466,-0.17819,1.9109e-20,453,2.1054,1.0726,0,1.0
-0.47557,0.0,0.0,0.0,460,0.85264,0.5225,0,1.0
-0.50491,0.3244,0.023407,2.295e-20,469,1.5546,0.95244,0,1.0
-0.47375,-0.021242,0.098397,-8.5458e-21,483,0.98382,0.71472,0,1.0
-0.47257,0.049605,0.10256,-2.1712999999999997e-21,485,1.1114,0.8074,0,1.0
-0.49919,0.77835,-0.095986,-3.4019e-20,493,1.7261,1.2538,0,1.0
-0.3425,-0.12742,-0.53682,-3.4528e-20,523,3.187,0.23587,0,1.0
-0.32347,-0.026112,-0.45588,-9.6587e-21,528,3.8141,0.0,0,1.0
-0.33826,0.12755,-0.24786,-5.5068e-20,532,4.2681,0.0,0,1.0
-0.28405,0.026925,-0.32855,-4.6264000000000003e-20,533,4.2628,0.23492,0,1.0
-0.27923,0.44856,0.34777,3.0632e-20,540,5.282,0.0,0,1.0
-0.20575,0.41394,0.40857,-7.182000000000001e-20,543,5.5544,0.23377,0,1.0
-0.14574,0.5259,0.55315,2.8231e-20,547,6.1409,0.23326,0,1.0
-0.13441,0.61052,0.58482,2.3037e-20,548,6.4555,0.0,0,1.0
-0.12277,0.55209,0.55222,4.4954e-20,554,7.4555,0.0,0,1.0
-0.20413,0.63189,0.14758,-7.0732e-21,561,8.5669,0.23111,0,1.0
-0.1809,0.78654,-0.30019,6.592499999999999e-21,565,9.382,0.23039,0,1.0
-0.086688,0.82809,-0.49615,-2.5755999999999998e-21,570,10.726,0.0,0,1.0
-0.083957,0.71452,-0.38252,-1.9468e-20,626,12.738,0.454,0,1.0
-0.16086,0.024758,-0.42959,3.8221e-20,641,4.1971,0.69968,0,1.0
-0.14428,0.06382,-0.19581,-7.062e-21,643,4.6868,0.69847,0,1.0
-0.094361,0.46074,0.52109,-1.4732e-20,649,6.3905,0.6943,0,1.0
-0.16658,0.5809,0.47706,2.4243e-20,653,7.7527,0.69096,0,1.0
-0.060598,0.82077,-0.42509,8.599299999999999e-21,662,11.654,0.68139,0,1.0
-0.2754,0.39223,-0.4621,8.878800000000001e-20,675,3.2568,0.92918,0,1.0
-0.17587,0.28307,-0.46518,-3.6939e-20,677,3.6808,0.9279,0,1.0
-0.072771,0.15983,0.028096,-5.6786e-20,683,5.1561,0.92345,0,1.0
-0.32381,0.66336,-0.39616,-2.9561999999999998e-21,712,2.9753,1.1514,0,1.0
