load_case,P_kN,P_N,max_defl_mm,elastic_defl_mm,nonlinear_ratio,max_stress_MPa,stress_ratio,n_iter
LC-01,10,10000,0.506018,0.544266,0.929726,17.3372,0.0738,10
LC-02,20,20000,1.012037,1.088532,0.929726,34.6743,0.1476,10
LC-03,30,30000,1.518055,1.632798,0.929726,52.0115,0.2213,10
LC-04,40,40000,2.024073,2.177064,0.929726,69.3486,0.2951,10
LC-05,50,50000,2.530092,2.721330,0.929726,86.6858,0.3689,10
LC-06,60,60000,3.036110,3.265596,0.929726,104.0230,0.4427,10
LC-07,70,70000,3.542129,3.809862,0.929726,121.3601,0.5164,10
LC-08,80,80000,4.048147,4.354128,0.929726,138.6973,0.5902,10
LC-09,90,90000,4.554165,4.898394,0.929726,156.0344,0.6640,10
LC-10,100,100000,5.060184,5.442660,0.929726,173.3716,0.7378,10
LC-11,110,110000,5.566202,5.986926,0.929726,190.7088,0.8115,10
LC-12,120,120000,6.072220,6.531192,0.929726,208.0459,0.8853,10
LC-13,130,130000,6.578239,7.075458,0.929726,225.3831,0.9591,10
LC-14,140,140000,7.087086,7.619724,0.930098,235.0000,1.0000,22
LC-15,150,150000,7.840796,8.163990,0.960412,235.0000,1.0000,50
LC-16,160,160000,10.313696,8.708256,1.184358,235.0000,1.0000,50
LC-17,170,170000,19.768994,9.252522,2.136606,235.0000,1.0000,50
LC-18,180,180000,39.881597,9.796788,4.070885,263.2560,1.1202,50
LC-19,190,190000,75.032144,10.341054,7.255754,275.5759,1.1727,50
LC-20,200,200000,133.499985,10.885320,12.264222,290.9335,1.2380,50
LC-21,210,210000,223.079240,11.429586,19.517701,308.1552,1.3113,50
LC-22,220,220000,349.369230,11.973852,29.177681,420.0000,1.7872,50
LC-23,230,230000,476.529227,12.518118,38.067162,420.0000,1.7872,50
LC-24,240,240000,591.350603,13.062384,45.271262,420.0000,1.7872,50
LC-25,250,250000,698.308660,13.606650,51.321130,420.0000,1.7872,50
