true_stress_MPa,plastic_strain
235.0004,0.00000000
244.5440,0.00405835
249.2471,0.00811670
253.0097,0.01217505
256.2678,0.01623341
259.1956,0.02029176
261.8846,0.02435011
264.3899,0.02840846
266.7481,0.03246681
268.9847,0.03652516
271.1186,0.04058351
273.1642,0.04464187
275.1327,0.04870022
277.0330,0.05275857
278.8726,0.05681692
280.6575,0.06087527
282.3928,0.06493362
284.0830,0.06899198
285.7316,0.07305033
287.3421,0.07710868
288.9171,0.08116703
290.4593,0.08522538
291.9707,0.08928373
293.4534,0.09334208
294.9092,0.09740044
296.3396,0.10145879
297.7460,0.10551714
299.1298,0.10957549
300.4921,0.11363384
301.8340,0.11769219
303.1565,0.12175054
304.4606,0.12580890
305.7470,0.12986725
307.0166,0.13392560
308.2700,0.13798395
309.5080,0.14204230
310.7311,0.14610065
311.9400,0.15015901
313.1351,0.15421736
314.3171,0.15827571
315.4863,0.16233406
316.6433,0.16639241
317.7884,0.17045076
318.9221,0.17450911
320.0447,0.17856747
321.1565,0.18262582
322.2580,0.18668417
323.3495,0.19074252
324.4312,0.19480087
325.5034,0.19885922
