x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
0.00000000,0.00000000,0.00000000,-2500.00000143,0.00000000
30.00000000,-0.00816290,-75000.00004256,-2500.00000143,0.18834756
60.00000000,-0.01631927,-150000.00008309,-2500.00000136,0.37669513
90.00000000,-0.02446258,-225000.00002897,-2499.99999820,0.56504269
120.00000000,-0.03258629,-299999.99997449,-2499.99999820,0.75339026
150.00000000,-0.04068388,-374999.99992037,-2499.99999820,0.94173782
180.00000000,-0.04874882,-449999.99986660,-2499.99999823,1.13008538
210.00000000,-0.05677456,-524999.99981439,-2499.99999825,1.31843295
240.00000000,-0.06475459,-599999.99976206,-2499.99999826,1.50678051
270.00000000,-0.07268237,-674999.99971390,-2499.99999841,1.69512808
300.00000000,-0.08055137,-749999.99966609,-2499.99999841,1.88347564
330.00000000,-0.08835505,-824999.99961543,-2499.99999837,2.07182320
360.00000000,-0.09608690,-899999.99956596,-2499.99999832,2.26017077
390.00000000,-0.10374037,-974999.99951839,-2499.99999845,2.44851833
420.00000000,-0.11130893,-1049999.99947673,-2499.99999867,2.63686590
450.00000000,-0.11878605,-1124999.99943304,-2499.99999849,2.82521346
480.00000000,-0.12616521,-1199999.99938476,-2499.99999844,3.01356102
510.00000000,-0.13343987,-1274999.99934286,-2499.99999852,3.20190859
540.00000000,-0.14060350,-1349999.99929291,-2499.99999847,3.39025615
570.00000000,-0.14764957,-1424999.99924248,-2499.99999827,3.57860371
600.00000000,-0.15457154,-1499999.99919802,-2499.99999840,3.76695128
630.00000000,-0.16136290,-1574999.99915600,-2499.99999874,3.95529884
660.00000000,-0.16801709,-1649999.99911058,-2499.99999849,4.14364641
690.00000000,-0.17452760,-1724999.99907517,-2499.99999876,4.33199397
720.00000000,-0.18088789,-1799999.99903131,-2499.99999866,4.52034153
750.00000000,-0.18709144,-1874999.99899518,-2499.99999880,4.70868910
780.00000000,-0.19313170,-1949999.99895567,-2499.99999874,4.89703666
810.00000000,-0.19900215,-2024999.99891496,-2499.99999850,5.08538423
840.00000000,-0.20469627,-2099999.99888164,-2499.99999893,5.27373179
870.00000000,-0.21020750,-2174999.99885154,-2499.99999908,5.46207935
900.00000000,-0.21552934,-2249999.99881583,-2499.99999879,5.65042692
930.00000000,-0.22065523,-2324999.99878526,-2499.99999893,5.83877448
960.00000000,-0.22557866,-2399999.99876177,-2499.99999924,6.02712205
990.00000000,-0.23029310,-2474999.99874175,-2499.99999933,6.21546961
1020.00000000,-0.23479200,-2549999.99872136,-2499.99999936,6.40381717
